sample	taxon	contig_p	bin_p
SRR11124705	d__Bacteria	58.01545198267948	33.77598687150157
SRR11124705	d__Archaea	37.92629892423896	0.0
SRR11124712	d__Bacteria	50.0473496228855	12.288148493544908
SRR11124712	d__Archaea	94.7779088798386	87.81638944924447
SRR11124714	d__Bacteria	52.48357219693588	28.22271096954751
SRR11124714	d__Archaea	33.79323031640912	0.6806475349521707
SRR11124721	d__Bacteria	73.15363383478218	15.112559092473948
SRR11124721	d__Archaea	92.38291066940828	85.36897418323053
SRR11124752	d__Bacteria	26.35894764495479	6.882363375493698
SRR11124752	d__Archaea	13.471698113207548	0.0
SRR11124757	d__Bacteria	61.41766037420211	12.776613151965371
SRR11124757	d__Archaea	95.30507052383426	90.31446038278659
SRR11124760	d__Bacteria	35.22768322472331	14.96972445675093
SRR11124760	d__Archaea	0.0	0.0
SRR11124762	d__Bacteria	50.34433053333773	32.46116916548543
SRR11124762	d__Archaea	16.923076923076923	10.598290598290598
SRR11124767	d__Bacteria	51.418335335053285	9.362225261968213
SRR11124767	d__Archaea	6.25	0.0
SRR11124775	d__Bacteria	59.45730152204012	21.279375755990067
SRR11124775	d__Archaea	1.8363939899833055	0.0
