accession,assembly_f_unweighted,assembly_f_weighted,assembly_f_readmapped,assembly_f_readmapped_w,ref_f_unweighted,ref_f_weighted,f_reads_mapped,assembly_refmap_isect_w,yaml_n_bases,yaml_n_reads,yaml_kmers,yaml_known_hashes,yaml_unknown_hashes,yaml_total_hashes,w_isect_all,w_isect_matches,w_no_isect,w_isect_mapassem,w_mapassem_only,w_map_only,biome1,biome2,biome3
SRR17257160,0.2869625626750802,0.8552122081481116,0.672055810674819,0.9318025951607812,0.4120956696103498,0.8527559249829195,0.9259652514322284,0.8090563401600204,12594397673,86401374,1480620720,605650,864033,1469683,8114003,8552267,401526,8576898,9345024,8269844,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Gastrointestinal tract
SRR1873849,0.0263358319637631,0.965815255716158,0.53629694953301,0.9853316273164542,0.0421025908258839,0.9655801966128668,0.9840936012543696,0.9640549749232254,3789328793,38517518,76301712,3151,71690,74841,2534622,2538632,36977,2539250,2590561,2537044,Engineered,Engineered:Food production,Engineered:Food production:Dairy products
SRR1916815,0.1816744593070438,0.8054926257709643,0.5341777372419226,0.8986800166550195,0.0770791419866731,0.1766686065056708,0.2511652187444705,0.1628348352881878,11969717292,118703892,1450297510,104287,1248699,1352986,1337483,1451110,756326,6616101,7381524,1375226,Engineered,Engineered:Lab enrichment,Engineered:Lab enrichment:Defined media
SRR19759452,0.3601785256523814,0.8269245312000246,0.5805824696395933,0.8848986349192544,0.629404004426632,0.857931858003801,0.9115405342744214,0.7656080458807322,5831829649,38767044,973115063,604000,355638,959638,3573802,4004765,193343,3860021,4130644,3660825,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Gastrointestinal tract
SRR2107175,0.2530839587980167,0.7082439743290327,0.6704900971297518,0.8716069984863387,0.13269678269499,0.2924331991474666,0.5130430742401636,0.2648774207463684,3568237124,23804204,947059532,126481,826677,953158,756487,835186,321696,2022736,2489300,790194,Engineered,Engineered:Wastewater,Engineered:Wastewater:Activated Sludge
SRR2107179,0.2225064248654415,0.6802302141842215,0.4763359973198503,0.7856082184519338,0.1091444680035049,0.5408895221142074,0.643826342366073,0.5274177948403967,3231861855,21642308,903692736,99039,808373,907412,1367078,1401997,531167,1763170,2036313,1377457,Engineered,Engineered:Wastewater,Engineered:Wastewater:Activated Sludge
SRR2753158,0.3253875146045203,0.8050371330250482,0.8342221998306235,0.9515688217014776,0.1332592011477218,0.4334058422419982,0.6242832251554866,0.41400612535895,4390406085,18200276,832330361,111091,722555,833646,1607669,1683002,161683,3126119,3695133,1656619,Engineered,Engineered:Food production,Engineered:Food production:Fermented vegetables
SRR3183878,0.0747894602526477,0.7290693251304422,0.2560450427459487,0.8210704069270162,0.1657841010590779,0.4782574280066569,0.4639566908444757,0.4032572630986435,828671144,11436658,64206626,10394,52302,62696,183401,217511,70291,331580,373422,206425,Host-associated,Host-associated:Human,Host-associated:Human:Skin
SRR3211795,0.1633236305901032,0.7698399419998885,0.981794125430008,0.9941721041771234,0.1439534268324953,0.6030617366571857,0.9326408892967004,0.6015977915342144,79700804,265918,19062186,2720,16175,18895,43149,43254,408,55216,71306,43244,Environmental,Environmental:Aquatic,Environmental:Aquatic:Thermal springs
SRR3719568,0.2826653715663592,0.7091596268544695,0.5359351822836116,0.837583134730414,0.2828542854049771,0.5910725030763047,0.7359628806120525,0.5292994682560062,11686294791,77989648,2451950753,697726,1769007,2466733,4922465,5496953,1224846,6595156,7789493,5211330,Environmental,Environmental:Aquatic,Environmental:Aquatic:Marine
