accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR2135518,0.0263017345504965,0.8068685048782839,1062,Engineered:Food production:Fermented beverages
ERR2144879,0.0439955180595696,0.2126309317288478,166,Host-associated:Plants:Phylloplane
ERR2144890,0.0826341290475007,0.3227631317260734,413,Host-associated:Plants:Phylloplane
ERR2168953,0.1991146472048117,0.3142970762660581,820,Environmental:Aquatic:Marine
ERR2168978,0.1866302462071788,0.2619170461428026,781,Environmental:Aquatic:Marine
ERR2198710,0.5060821084642289,0.9347848399519834,1279,Host-associated:Human:Digestive system
ERR2200468,0.3160703229379024,0.3447006019924351,5178,Host-associated:Mammals:Digestive system
ERR2200478,0.3002219263203266,0.3281419544265015,4620,Host-associated:Mammals:Digestive system
ERR2215867,0.0271085234379529,0.0608741800085087,3811,Environmental:Aquatic:Marine
ERR2241625,0.4639289962670466,0.6526023291101534,8462,Host-associated:Animal:Digestive system
ERR2241626,0.4617924573576858,0.6483557095773556,8895,Host-associated:Animal:Digestive system
ERR2241629,0.2957963306952857,0.5251254933608618,10249,Host-associated:Animal:Digestive system
ERR2241633,0.279704032675486,0.5759563856638061,11848,Host-associated:Animal:Digestive system
ERR2241639,0.2649314391740301,0.7938609655659471,5584,Host-associated:Animal:Digestive system
ERR2241645,0.218105318601853,0.7964130642536243,3816,Host-associated:Animal:Digestive system
ERR2241648,0.2856968350132104,0.5858879337085566,11193,Host-associated:Animal:Digestive system
ERR2241650,0.3127209485649884,0.5029934685758398,10848,Host-associated:Animal:Digestive system
ERR2241654,0.2650518909717682,0.4965359985059611,12621,Host-associated:Animal:Digestive system
ERR2241656,0.2741586197772323,0.4789199962880924,12572,Host-associated:Animal:Digestive system
ERR2241660,0.3010853498879048,0.4750728816198081,10476,Host-associated:Animal:Digestive system
ERR2241662,0.3611371739536824,0.6013855772364295,6604,Host-associated:Animal:Digestive system
ERR2241663,0.2690953606403305,0.4071537497429291,11186,Host-associated:Animal:Digestive system
ERR2241666,0.4014632929632202,0.6316675426337626,11847,Host-associated:Animal:Digestive system
