accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR209194,0.8059217559,0.9223379561,3635,Host-associated:Human:Digestive system
ERR209195,0.9051834471,0.9518451301,1215,Host-associated:Human:Digestive system
ERR2094164,0.4830505882,0.6542219106,49774,Environmental:Aquatic:Aquaculture
ERR2094165,0.3485963345,0.3565347128,64486,Environmental:Aquatic:Aquaculture
ERR2094166,0.428901045,0.5654317475,41677,Environmental:Aquatic:Aquaculture
ERR2094167,0.4303525432,0.680152539,38930,Environmental:Aquatic:Aquaculture
ERR2094168,0.4206789457,0.5616558656,49523,Environmental:Aquatic:Aquaculture
ERR2094169,0.4401639758,0.6322641827,46639,Environmental:Aquatic:Aquaculture
ERR2094170,0.4796916208,0.6533642625,51679,Environmental:Aquatic:Aquaculture
ERR2094171,0.4145174293,0.5184146963,28427,Environmental:Aquatic:Aquaculture
ERR2094172,0.4215091766,0.6526273512,22265,Environmental:Aquatic:Aquaculture
ERR2094173,0.3654811227,0.609095766,23160,Environmental:Aquatic:Aquaculture
ERR2094174,0.3710382435,0.6105719713,23296,Environmental:Aquatic:Aquaculture
ERR2094175,0.3740131538,0.4728731064,36597,Environmental:Aquatic:Aquaculture
ERR2094176,0.4436581313,0.6119665635,50907,Environmental:Aquatic:Aquaculture
ERR209780,0.848841853,0.9000462091,1961,Host-associated:Human:Digestive system
ERR210047,0.8959469418,0.9403358869,944,Host-associated:Human:Digestive system
ERR2102261,0.3506586992,0.8859805537,34290,Engineered:Food production:Fermented beverages
ERR2114805,0.4658907582,0.5875478005,23586,Host-associated:Plants:Phylloplane
ERR2114812,0.4514761411,0.6820629612,19674,Host-associated:Plants:Phylloplane
ERR2126384,0.3381291488,0.9061420683,33087,Engineered:Food production:Fermented beverages
ERR2135449,0.3627562389,0.914565271,30504,Engineered:Food production:Fermented beverages
ERR2135457,0.3583809209,0.889890427,32966,Engineered:Food production:Fermented beverages
ERR2135518,0.3744926868,0.9077274935,31754,Engineered:Food production:Fermented beverages
ERR2135519,0.2895282206,0.6521065509,45133,Engineered:Food production:Fermented beverages
